fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
19,settler,VME,76,2016-12-16,46,17,1162,pleine_lune,0.436111111,1
20,settler,VME,76,2016-12-07,48,8,1162,premier_quartier,1,0.061111111
21,settler,VME,76,2016-12-08,47,9,1162,premier_quartier,1,0.219444444
23,settler,VOW,NA,2016-12-19,46,20,1162,pleine_lune,0.066666667,1
27,settler,VOE,NA,2016-12-19,47,20,1162,pleine_lune,0.066666667,1
28,settler,VOE,NA,2016-12-14,42,15,1162,pleine_lune,0.744444444,1
30,settler,VME,NA,2016-12-10,47,11,1162,premier_quartier,1,0.55
33,settler,VMW,NA,2016-12-15,45,16,1162,pleine_lune,0.583333333,1
37,settler,VMW,NA,2016-12-15,47,16,1162,pleine_lune,0.583333333,1
39,settler,VOW,NA,2016-12-14,49,15,1162,pleine_lune,0.744444444,1
40,settler,VOW,NA,2016-12-11,53,12,1162,premier_quartier,1,0.725
41,settler,VOW,NA,2016-12-25,46,26,1162,dernier_quartier,0,0.527777778
47,settler,VMW,NA,2016-11-30,48,1,1162,nouvelle_lune,0.258333333,0
48,settler,VMW,NA,2016-12-15,40,16,1162,pleine_lune,0.583333333,1
55,settler,VOE,NA,2016-12-18,47,19,1162,pleine_lune,0.180555556,1
56,settler,VOW,NA,2016-12-25,45,26,1162,dernier_quartier,0,0.527777778
60,settler,MMM,110,2016-12-18,42,19,1162,pleine_lune,0.180555556,1
61,settler,MOM,100,2016-12-08,49,9,1162,premier_quartier,1,0.219444444
62,settler,TMM,132,2016-12-15,43,16,1162,pleine_lune,0.583333333,1
63,settler,MMM,NA,2016-12-11,47,12,1162,premier_quartier,1,0.725
64,settler,MMM,NA,2016-12-20,47,21,1162,pleine_lune,0.013888889,1
67,settler,TMM,NA,2016-12-11,54,12,1162,premier_quartier,1,0.725
68,settler,TMM,NA,2016-12-20,47,21,1162,pleine_lune,0.013888889,1
69,settler,TMM,NA,2016-12-05,47,6,1162,nouvelle_lune,0.905555556,0
71,settler,MOM,117,2016-12-23,44,24,1162,dernier_quartier,0,0.747222222
74,settler,TOM,NA,2016-12-16,48,17,1162,pleine_lune,0.436111111,1
75,settler,TOM,NA,2016-12-19,48,20,1162,pleine_lune,0.066666667,1
77,settler,TOM,93,2016-12-09,57,10,1162,premier_quartier,1,0.380555556
78,settler,TOM,NA,2016-12-22,47,23,1162,dernier_quartier,0,0.852777778
89,settler,MMM,NA,2016-12-15,45,16,1162,pleine_lune,0.583333333,1
90,settler,MMM,NA,2016-12-07,51,8,1162,premier_quartier,1,0.061111111
99,settler,MOM,131,2016-12-20,42,21,1162,pleine_lune,0.013888889,1
100,settler,TOM,156,2016-12-27,43,28,1162,dernier_quartier,0,0.288888889
101,settler,MMM,114,2017-01-06,45,9,1163,premier_quartier,1,0.183333333
104,settler,TOM,NA,2017-01-06,40,9,1163,premier_quartier,1,0.183333333
105,settler,TOM,NA,2016-12-21,48,22,1162,dernier_quartier,0,0.958333333
107,settler,TOM,NA,2016-12-19,47,20,1162,pleine_lune,0.066666667,1
109,settler,MMM,NA,2016-12-15,46,16,1162,pleine_lune,0.583333333,1
112,settler,TMM,NA,2016-12-04,61,5,1162,nouvelle_lune,0.783333333,0
113,settler,TMM,NA,2016-12-25,42,26,1162,dernier_quartier,0,0.527777778
114,settler,TMM,NA,2016-12-23,48,24,1162,dernier_quartier,0,0.747222222
117,settler,TMM,NA,2016-12-17,54,18,1162,pleine_lune,0.302777778,1
119,settler,TMM,126,2016-12-28,46,0,1163,nouvelle_lune,0.05,0.158333333
120,settler,MMM,NA,2016-12-08,56,9,1162,premier_quartier,1,0.219444444
122,settler,MMM,NA,2017-01-04,43,7,1163,premier_quartier,0.933333333,0
123,settler,MMM,NA,2016-12-12,53,13,1162,premier_quartier,1,0.902777778
126,settler,MOM,NA,2016-12-30,42,2,1163,nouvelle_lune,0.319444444,0
127,settler,MOM,NA,2016-12-30,47,2,1163,nouvelle_lune,0.319444444,0
129,settler,VMW,NA,2016-12-29,51,1,1163,nouvelle_lune,0.186111111,0.022222222
130,settler,VMW,NA,2017-01-09,41,12,1163,premier_quartier,1,0.691666667
135,settler,VMW,NA,2017-01-10,41,13,1163,premier_quartier,1,0.863888889
136,settler,VMW,NA,2017-01-01,49,4,1163,nouvelle_lune,0.572222222,0
138,settler,VMW,NA,2017-01-05,45,8,1163,premier_quartier,0.994444444,0.022222222
140,settler,VOW,NA,2017-01-07,44,10,1163,premier_quartier,1,0.347222222
141,settler,VOW,NA,2017-01-07,43,10,1163,premier_quartier,1,0.347222222
142,settler,VOW,7,2017-01-06,46,9,1163,premier_quartier,1,0.183333333
143,settler,VOW,12,2016-12-29,52,1,1163,nouvelle_lune,0.186111111,0.022222222
147,settler,VOW,NA,2016-12-30,49,2,1163,nouvelle_lune,0.319444444,0
148,settler,VME,NA,2017-01-02,46,5,1163,nouvelle_lune,0.691666667,0
150,settler,VME,NA,2017-01-03,47,6,1163,nouvelle_lune,0.811111111,0
151,settler,VME,76,2016-12-30,52,2,1163,nouvelle_lune,0.319444444,0
153,settler,VME,NA,2017-01-06,37,9,1163,premier_quartier,1,0.183333333
